VaccinationRate,AverageDays,AverageRecovered,AverageVaccinated
0,23.8,29999.2,0
10,24.2,26999.2,3000
20,26,23995,6000
30,27.8,20989,9000
40,31.2,17971.6,12000
50,36.8,14937.2,15000
60,41,11827.4,18000
70,49,8553.6,21000
80,71.2,5000.8,24000
90,34.2,46,27000
100,0,0,30000
